House,Resident,Day,Minute,Activity
A,1,1,393,2
A,1,1,394,2
A,1,1,395,2
A,1,1,396,2
A,1,1,397,2
A,1,1,398,2
A,1,1,399,2
A,1,1,400,2
A,1,1,401,2
A,1,1,402,2
A,1,1,403,2
A,1,1,404,2
A,1,1,405,2
A,1,1,406,2
A,1,1,407,2
A,1,1,408,2
A,1,1,409,2
A,1,1,410,2
A,1,1,411,2
A,1,1,412,2
A,1,1,413,2
A,1,1,414,2
A,1,1,415,2
A,1,1,416,2
A,1,1,417,2
A,1,1,418,2
A,1,1,419,2
A,1,1,420,2
A,1,1,421,2
A,1,1,422,2
A,1,1,423,2
A,1,1,424,2
A,1,1,425,2
A,1,1,426,2
A,1,1,427,2
A,1,1,428,2
A,1,1,429,2
A,1,1,430,2
A,1,1,431,2
A,1,1,432,2
A,1,1,433,2
A,1,1,434,2
A,1,1,435,2
A,1,1,436,2
A,1,1,437,2
A,1,1,438,2
A,1,1,439,2
A,1,1,440,2
A,1,1,441,2
A,1,1,442,2
A,1,1,443,2
A,1,1,444,2
A,1,1,445,2
A,1,1,446,2
A,1,1,447,2
A,1,1,448,2
A,1,1,449,2
A,1,1,450,2
A,1,1,451,2
A,1,1,452,2
A,1,1,453,2
A,1,1,454,2
A,1,1,455,2
A,1,1,456,2
A,1,1,457,2
A,1,1,458,2
A,1,1,459,2
A,1,1,460,2
A,1,1,461,2
A,1,1,462,2
A,1,1,463,2
A,1,1,464,2
A,1,1,465,2
A,1,1,466,2
A,1,1,467,2
A,1,1,468,2
A,1,1,469,2
A,1,1,470,2
A,1,1,471,2
A,1,1,472,2
A,1,1,473,2
A,1,1,474,2
A,1,1,475,2
A,1,1,476,2
A,1,1,477,2
A,1,1,478,2
A,1,1,479,2
A,1,1,480,2
A,1,1,481,2
A,1,1,482,2
A,1,1,483,2
A,1,1,484,2
A,1,1,485,2
A,1,1,486,2
A,1,1,487,2
A,1,1,488,2
A,1,1,489,2
A,1,1,490,2
A,1,1,491,2
A,1,1,492,2
A,1,1,493,2
A,1,1,494,2
A,1,1,495,2
A,1,1,496,2
A,1,1,497,2
A,1,1,498,2
A,1,1,499,2
A,1,1,500,2
A,1,1,501,2
A,1,1,502,2
A,1,1,503,2
A,1,1,504,2
A,1,1,505,2
A,1,1,506,2
A,1,1,507,2
A,1,1,508,2
A,1,1,509,2
A,1,1,510,2
A,1,1,511,2
A,1,1,512,2
A,1,1,513,2
A,1,1,514,2
A,1,1,515,2
A,1,1,516,2
A,1,1,517,2
A,1,1,518,2
A,1,1,519,2
A,1,1,520,2
A,1,1,521,2
A,1,1,522,2
A,1,1,523,2
A,1,1,524,2
A,1,1,525,2
A,1,1,526,2
A,1,1,527,2
A,1,1,528,2
A,1,1,529,2
A,1,1,530,2
A,1,1,531,2
A,1,1,532,2
A,1,1,533,2
A,1,1,534,2
A,1,1,535,2
A,1,1,536,2
A,1,1,537,2
A,1,1,538,2
A,1,1,539,2
A,1,1,540,2
A,1,1,541,2
A,1,1,542,2
A,1,1,543,2
A,1,1,544,2
A,1,1,545,2
A,1,1,546,2
A,1,1,547,6
A,1,1,548,6
A,1,1,549,6
A,1,1,550,6
A,1,1,551,6
A,1,1,552,6
A,1,1,553,4
A,1,1,554,4
A,1,1,555,4
A,1,1,556,4
A,1,1,557,4
A,1,1,558,4
A,1,1,559,4
A,1,1,560,4
A,1,1,561,4
A,1,1,562,4
A,1,1,563,4
A,1,1,564,4
A,1,1,565,4
A,1,1,566,4
A,1,1,567,4
A,1,1,568,4
A,1,1,569,4
A,1,1,570,4
A,1,1,571,4
A,1,1,572,4
A,1,1,573,4
A,1,1,574,4
A,1,1,575,4
A,1,1,576,4
A,1,1,577,4
A,1,1,578,7
A,1,1,579,7
A,1,1,580,7
A,1,1,581,7
A,1,1,582,7
A,1,1,583,7
A,1,1,584,7
A,1,1,585,7
A,1,1,586,7
A,1,1,587,7
A,1,1,588,7
A,1,1,589,7
A,1,1,590,7
A,1,1,591,7
A,1,1,592,7
A,1,1,593,7
A,1,1,594,7
A,1,1,595,7
A,1,1,596,7
A,1,1,597,7
A,1,1,598,7
A,1,1,599,7
A,1,1,600,7
A,1,1,601,7
A,1,1,602,7
A,1,1,603,7
A,1,1,604,7
A,1,1,605,7
A,1,1,606,7
A,1,1,607,7
A,1,1,608,7
A,1,1,609,7
A,1,1,610,7
A,1,1,611,7
A,1,1,612,7
A,1,1,613,7
A,1,1,614,7
A,1,1,615,7
A,1,1,616,7
A,1,1,617,7
A,1,1,618,7
A,1,1,619,7
A,1,1,620,7
A,1,1,621,7
A,1,1,622,10
A,1,1,623,10
A,1,1,624,3
A,1,1,625,3
A,1,1,626,3
A,1,1,627,3
A,1,1,628,3
A,1,1,629,3
A,1,1,630,3
A,1,1,631,3
A,1,1,632,3
A,1,1,633,3
A,1,1,634,3
A,1,1,635,3
A,1,1,636,3
A,1,1,637,3
A,1,1,638,3
A,1,1,639,3
A,1,1,640,3
A,1,1,641,3
A,1,1,642,3
A,1,1,643,3
A,1,1,644,3
A,1,1,645,3
A,1,1,646,3
A,1,1,647,3
A,1,1,648,3
A,1,1,649,3
A,1,1,650,3
A,1,1,651,3
A,1,1,652,3
A,1,1,653,3
A,1,1,654,3
A,1,1,655,3
A,1,1,656,3
A,1,1,657,3
A,1,1,658,3
A,1,1,659,3
A,1,1,660,3
A,1,1,661,3
A,1,1,662,3
A,1,1,663,3
A,1,1,664,10
A,1,1,665,10
A,1,1,666,10
A,1,1,667,10
A,1,1,668,5
A,1,1,669,5
A,1,1,670,5
A,1,1,671,5
A,1,1,672,5
A,1,1,673,5
A,1,1,674,5
A,1,1,675,5
A,1,1,676,5
A,1,1,677,5
A,1,1,678,5
A,1,1,679,9
A,1,1,680,9
A,1,1,681,9
A,1,1,682,9
A,1,1,683,5
A,1,1,684,5
A,1,1,685,5
A,1,1,686,5
A,1,1,687,5
A,1,1,688,5
A,1,1,689,5
A,1,1,690,5
A,1,1,691,5
A,1,1,692,5
A,1,1,693,5
A,1,1,694,5
A,1,1,695,5
A,1,1,696,5
A,1,1,697,5
A,1,1,698,5
A,1,1,699,5
A,1,1,700,5
A,1,1,701,5
A,1,1,702,5
A,1,1,703,5
A,1,1,704,5
A,1,1,705,5
A,1,1,706,5
A,1,1,707,5
A,1,1,708,5
A,1,1,709,5
A,1,1,710,5
A,1,1,711,5
A,1,1,712,5
A,1,1,713,5
A,1,1,714,5
A,1,1,715,5
A,1,1,716,9
A,1,1,717,9
A,1,1,718,9
A,1,1,719,9
A,1,1,720,9
A,1,1,721,9
A,1,1,722,9
A,1,1,723,9
A,1,1,724,9
A,1,1,725,9
A,1,1,726,9
A,1,1,727,5
A,1,1,728,5
A,1,1,729,5
A,1,1,730,5
A,1,1,731,5
A,1,1,732,5
A,1,1,733,5
A,1,1,734,5
A,1,1,735,5
A,1,1,736,5
A,1,1,737,5
A,1,1,738,5
A,1,1,739,5
A,1,1,740,5
A,1,1,741,5
A,1,1,742,5
A,1,1,743,5
A,1,1,744,5
A,1,1,745,5
A,1,1,746,5
A,1,1,747,5
A,1,1,748,5
A,1,1,749,5
A,1,1,750,5
A,1,1,751,5
A,1,1,752,5
A,1,1,753,5
A,1,1,754,5
A,1,1,755,5
A,1,1,756,5
A,1,1,757,5
A,1,1,758,5
A,1,1,759,5
A,1,1,760,5
A,1,1,761,5
A,1,1,762,5
A,1,1,763,5
A,1,1,764,5
A,1,1,765,5
A,1,1,766,5
A,1,1,767,5
A,1,1,768,5
A,1,1,769,5
A,1,1,770,5
A,1,1,771,5
A,1,1,772,5
A,1,1,773,5
A,1,1,774,5
A,1,1,775,5
A,1,1,776,5
A,1,1,777,5
A,1,1,778,5
A,1,1,779,5
A,1,1,780,5
A,1,1,781,5
A,1,1,782,5
A,1,1,783,5
A,1,1,784,5
A,1,1,785,5
A,1,1,786,5
A,1,1,787,5
A,1,1,788,6
A,1,1,789,6
A,1,1,790,6
A,1,1,791,6
A,1,1,792,6
A,1,1,793,6
A,1,1,794,6
A,1,1,795,6
A,1,1,796,8
A,1,1,797,8
A,1,1,798,8
A,1,1,799,8
A,1,1,800,8
A,1,1,801,8
A,1,1,802,8
A,1,1,803,8
A,1,1,804,8
A,1,1,805,8
A,1,1,806,8
A,1,1,807,3
A,1,1,808,3
A,1,1,809,3
A,1,1,810,3
A,1,1,811,3
A,1,1,812,3
A,1,1,813,10
A,1,1,814,10
A,1,1,815,10
A,1,1,816,10
A,1,1,817,10
A,1,1,818,10
A,1,1,819,10
A,1,1,820,10
A,1,1,821,10
A,1,1,822,10
A,1,1,823,10
A,1,1,824,10
A,1,1,825,8
A,1,1,826,8
A,1,1,827,8
A,1,1,828,8
A,1,1,829,8
A,1,1,830,8
A,1,1,831,8
A,1,1,832,8
A,1,1,833,8
A,1,1,834,1
A,1,1,835,1
A,1,1,836,1
A,1,1,837,1
A,1,1,838,1
A,1,1,839,1
A,1,1,840,1
A,1,1,841,1
A,1,1,842,1
A,1,1,843,1
A,1,1,844,1
A,1,1,845,1
A,1,1,846,1
A,1,1,847,1
A,1,1,848,1
A,1,1,849,1
A,1,1,850,1
A,1,1,851,1
A,1,1,852,1
A,1,1,853,1
A,1,1,854,1
A,1,1,855,1
A,1,1,856,1
A,1,1,857,1
A,1,1,858,1
A,1,1,859,1
A,1,1,860,1
A,1,1,861,1
A,1,1,862,1
A,1,1,863,1
A,1,1,864,1
A,1,1,865,1
A,1,1,866,1
A,1,1,867,1
A,1,1,868,1
A,1,1,869,1
A,1,1,870,1
A,1,1,871,1
A,1,1,872,1
A,1,1,873,1
A,1,1,874,1
A,1,1,875,1
A,1,1,876,1
A,1,1,877,1
A,1,1,878,1
A,1,1,879,1
A,1,1,880,1
A,1,1,881,1
A,1,1,882,1
A,1,1,883,1
A,1,1,884,1
A,1,1,885,1
A,1,1,886,1
A,1,1,887,1
A,1,1,888,1
A,1,1,889,1
A,1,1,890,1
A,1,1,891,1
A,1,1,892,1
A,1,1,893,1
A,1,1,894,1
A,1,1,895,1
A,1,1,896,1
A,1,1,897,1
A,1,1,898,1
A,1,1,899,1
A,1,1,900,1
A,1,1,901,1
A,1,1,902,1
A,1,1,903,1
A,1,1,904,1
A,1,1,905,1
A,1,1,906,1
A,1,1,907,1
A,1,1,908,1
A,1,1,909,1
A,1,1,910,1
A,1,1,911,1
A,1,1,912,1
A,1,1,913,1
A,1,1,914,1
A,1,1,915,1
A,1,1,916,1
A,1,1,917,1
A,1,1,918,1
A,1,1,919,1
A,1,1,920,1
A,1,1,921,1
A,1,1,922,1
A,1,1,923,1
A,1,1,924,1
A,1,1,925,1
A,1,1,926,1
A,1,1,927,1
A,1,1,928,1
A,1,1,929,1
A,1,1,930,1
A,1,1,931,1
A,1,1,932,1
A,1,1,933,1
A,1,1,934,1
A,1,1,935,1
A,1,1,936,1
A,1,1,937,1
A,1,1,938,1
A,1,1,939,1
A,1,1,940,1
A,1,1,941,1
A,1,1,942,1
A,1,1,943,1
A,1,1,944,1
A,1,1,945,1
A,1,1,946,1
A,1,1,947,1
A,1,1,948,1
A,1,1,949,1
A,1,1,950,1
A,1,1,951,1
A,1,1,952,1
A,1,1,953,1
A,1,1,954,1
A,1,1,955,1
A,1,1,956,1
A,1,1,957,1
A,1,1,958,1
A,1,1,959,1
A,1,1,960,1
A,1,1,961,1
A,1,1,962,1
A,1,1,963,1
A,1,1,964,1
A,1,1,965,1
A,1,1,966,1
A,1,1,967,1
A,1,1,968,1
A,1,1,969,1
A,1,1,970,1
A,1,1,971,1
A,1,1,972,1
A,1,1,973,1
A,1,1,974,1
A,1,1,975,1
A,1,1,976,1
A,1,1,977,1
A,1,1,978,1
A,1,1,979,1
A,1,1,980,1
A,1,1,981,1
A,1,1,982,1
A,1,1,983,1
A,1,1,984,1
A,1,1,985,1
A,1,1,986,1
A,1,1,987,1
A,1,1,988,1
A,1,1,989,1
A,1,1,990,1
A,1,1,991,1
A,1,1,992,1
A,1,1,993,1
A,1,1,994,1
A,1,1,995,1
A,1,1,996,1
A,1,1,997,1
A,1,1,998,1
A,1,1,999,1
A,1,1,1000,1
A,1,1,1001,1
A,1,1,1002,1
A,1,1,1003,1
A,1,1,1004,1
A,1,1,1005,1
A,1,1,1006,1
A,1,1,1007,1
A,1,1,1008,1
A,1,1,1009,1
A,1,1,1010,1
A,1,1,1011,1
A,1,1,1012,1
A,1,1,1013,1
A,1,1,1014,1
A,1,1,1015,1
A,1,1,1016,1
A,1,1,1017,1
A,1,1,1018,1
A,1,1,1019,1
A,1,1,1020,1
A,1,1,1021,1
A,1,1,1022,1
A,1,1,1023,1
A,1,1,1024,1
A,1,1,1025,1
A,1,1,1026,1
A,1,1,1027,1
A,1,1,1028,1
A,1,1,1029,1
A,1,1,1030,1
A,1,1,1031,1
A,1,1,1032,1
A,1,1,1033,1
A,1,1,1034,1
A,1,1,1035,1
A,1,1,1036,1
A,1,1,1037,1
A,1,1,1038,1
A,1,1,1039,1
A,1,1,1040,1
A,1,1,1041,1
A,1,1,1042,1
A,1,1,1043,1
A,1,1,1044,1
A,1,1,1045,1
A,1,1,1046,1
A,1,1,1047,1
A,1,1,1048,1
A,1,1,1049,1
A,1,1,1050,1
A,1,1,1051,1
A,1,1,1052,1
A,1,1,1053,1
A,1,1,1054,1
A,1,1,1055,1
A,1,1,1056,1
A,1,1,1057,1
A,1,1,1058,1
A,1,1,1059,1
A,1,1,1060,1
A,1,1,1061,1
A,1,1,1062,1
A,1,1,1063,1
A,1,1,1064,1
A,1,1,1065,1
A,1,1,1066,1
A,1,1,1067,1
A,1,1,1068,1
A,1,1,1069,1
A,1,1,1070,1
A,1,1,1071,1
A,1,1,1072,1
A,1,1,1073,1
A,1,1,1074,1
A,1,1,1075,1
A,1,1,1076,1
A,1,1,1077,1
A,1,1,1078,1
A,1,1,1079,1
A,1,1,1080,1
A,1,1,1081,1
A,1,1,1082,1
A,1,1,1083,1
A,1,1,1084,1
A,1,1,1085,1
A,1,1,1086,1
A,1,1,1087,1
A,1,1,1088,1
A,1,1,1089,1
A,1,1,1090,1
A,1,1,1091,1
A,1,1,1092,1
A,1,1,1093,1
A,1,1,1094,1
A,1,1,1095,1
A,1,1,1096,1
A,1,1,1097,1
A,1,1,1098,1
A,1,1,1099,1
A,1,1,1100,1
A,1,1,1101,1
A,1,1,1102,1
A,1,1,1103,1
A,1,1,1104,1
A,1,1,1105,1
A,1,1,1106,1
A,1,1,1107,1
A,1,1,1108,1
A,1,1,1109,1
A,1,1,1110,1
A,1,1,1111,1
A,1,1,1112,1
A,1,1,1113,1
A,1,1,1114,1
A,1,1,1115,1
A,1,1,1116,1
A,1,1,1117,1
A,1,1,1118,1
A,1,1,1119,1
A,1,1,1120,1
A,1,1,1121,1
A,1,1,1122,1
A,1,1,1123,1
A,1,1,1124,1
A,1,1,1125,1
A,1,1,1126,1
A,1,1,1127,1
A,1,1,1128,1
A,1,1,1129,1
A,1,1,1130,1
A,1,1,1131,1
A,1,1,1132,1
A,1,1,1133,1
A,1,1,1134,1
A,1,1,1135,1
A,1,1,1136,1
A,1,1,1137,1
A,1,1,1138,1
A,1,1,1139,1
A,1,1,1140,1
A,1,1,1141,1
A,1,1,1142,1
A,1,1,1143,1
A,1,1,1144,1
A,1,1,1145,1
A,1,1,1146,1
A,1,1,1147,1
A,1,1,1148,1
A,1,1,1149,1
A,1,1,1150,1
A,1,1,1151,1
A,1,1,1152,1
A,1,1,1153,1
A,1,1,1154,1
A,1,1,1155,1
A,1,1,1156,1
A,1,1,1157,1
A,1,1,1158,1
A,1,1,1159,1
A,1,1,1160,1
A,1,1,1161,1
A,1,1,1162,1
A,1,1,1163,1
A,1,1,1164,1
A,1,1,1165,1
A,1,1,1166,1
A,1,1,1167,1
A,1,1,1168,1
A,1,1,1169,1
A,1,1,1170,1
A,1,1,1171,1
A,1,1,1172,1
A,1,1,1173,1
A,1,1,1174,1
A,1,1,1175,1
A,1,1,1176,1
A,1,1,1177,1
A,1,1,1178,1
A,1,1,1179,1
A,1,1,1180,1
A,1,1,1181,1
A,1,1,1182,1
A,1,1,1183,1
A,1,1,1184,1
A,1,1,1185,1
A,1,1,1186,1
A,1,1,1187,1
A,1,1,1188,1
A,1,1,1189,1
A,1,1,1190,1
A,1,1,1191,1
A,1,1,1192,1
A,1,1,1193,1
A,1,1,1194,1
A,1,1,1195,1
A,1,1,1196,1
A,1,1,1197,1
A,1,1,1198,1
A,1,1,1199,1
A,1,1,1200,1
A,1,1,1201,1
A,1,1,1202,1
A,1,1,1203,1
A,1,1,1204,1
A,1,1,1205,1
A,1,1,1206,1
A,1,1,1207,1
A,1,1,1208,1
A,1,1,1209,1
A,1,1,1210,1
A,1,1,1211,1
A,1,1,1212,1
A,1,1,1213,1
A,1,1,1214,1
A,1,1,1215,1
A,1,1,1216,1
A,1,1,1217,1
A,1,1,1218,1
A,1,1,1219,1
A,1,1,1220,1
A,1,1,1221,1
A,1,1,1222,6
A,1,1,1223,6
A,1,1,1224,6
A,1,1,1225,6
A,1,1,1226,6
A,1,1,1227,6
A,1,1,1228,6
A,1,1,1229,6
A,1,1,1230,6
A,1,1,1231,6
A,1,1,1232,6
A,1,1,1233,7
A,1,1,1234,7
A,1,1,1235,7
A,1,1,1236,7
A,1,1,1237,7
A,1,1,1238,7
A,1,1,1239,7
A,1,1,1240,7
A,1,1,1241,7
A,1,1,1242,7
A,1,1,1243,7
A,1,1,1244,7
A,1,1,1245,7
A,1,1,1246,7
A,1,1,1247,7
A,1,1,1248,7
A,1,1,1249,7
A,1,1,1250,7
A,1,1,1251,7
A,1,1,1252,7
A,1,1,1253,7
A,1,1,1254,7
A,1,1,1255,7
A,1,1,1256,7
A,1,1,1257,7
A,1,1,1258,7
A,1,1,1259,7
A,1,1,1260,7
A,1,1,1261,7
A,1,1,1262,7
A,1,1,1263,7
A,1,1,1264,7
A,1,1,1265,7
A,1,1,1266,7
A,1,1,1267,7
A,1,1,1268,7
A,1,1,1269,7
A,1,1,1270,7
A,1,1,1271,7
A,1,1,1272,7
A,1,1,1273,9
A,1,1,1274,9
A,1,1,1275,9
A,1,1,1276,9
A,1,1,1277,9
A,1,1,1278,7
A,1,1,1279,7
A,1,1,1280,7
A,1,1,1281,7
A,1,1,1282,7
A,1,1,1283,7
A,1,1,1284,7
A,1,1,1285,7
A,1,1,1286,7
A,1,1,1287,7
A,1,1,1288,7
A,1,1,1289,7
A,1,1,1290,7
A,1,1,1291,7
A,1,1,1292,7
A,1,1,1293,7
A,1,1,1294,7
A,1,1,1295,7
A,1,1,1296,7
A,1,1,1297,7
A,1,1,1298,7
A,1,1,1299,7
A,1,1,1300,7
A,1,1,1301,7
A,1,1,1302,7
A,1,1,1303,7
A,1,1,1304,7
A,1,1,1305,7
A,1,1,1306,7
A,1,1,1307,7
A,1,1,1308,7
A,1,1,1309,7
A,1,1,1310,7
A,1,1,1311,7
A,1,1,1312,7
A,1,1,1313,7
A,1,1,1314,7
A,1,1,1315,7
A,1,1,1316,7
A,1,1,1317,7
A,1,1,1318,7
A,1,1,1319,7
A,1,1,1320,7
A,1,1,1321,7
A,1,1,1322,7
A,1,1,1323,7
A,1,1,1324,7
A,1,1,1325,7
A,1,1,1326,7
A,1,1,1327,7
A,1,1,1328,7
A,1,1,1329,3
A,1,1,1330,3
A,1,1,1331,3
A,1,1,1332,3
A,1,1,1333,3
A,1,1,1334,3
A,1,1,1335,3
A,1,1,1336,3
A,1,1,1337,3
A,1,1,1338,3
A,1,1,1339,3
A,1,1,1340,3
A,1,1,1341,3
A,1,1,1342,3
A,1,1,1343,3
A,1,1,1344,3
A,1,1,1345,3
A,1,1,1346,3
A,1,1,1347,3
A,1,1,1348,3
A,1,1,1349,3
A,1,1,1350,3
A,1,1,1351,3
A,1,1,1352,3
A,1,1,1353,3
A,1,1,1354,3
A,1,1,1355,3
A,1,1,1356,3
A,1,1,1357,3
A,1,1,1358,3
A,1,1,1359,3
A,1,1,1360,3
