House,Resident,Day,Hour,Activity,ActivityMinutes
A,1,1,18,1,60
A,1,1,18,2,0
A,1,1,18,3,0
A,1,1,18,4,0
A,1,1,18,5,0
A,1,1,18,6,0
A,1,1,18,7,0
A,1,1,18,8,0
A,1,1,18,9,0
A,1,1,18,10,0
A,1,1,19,1,60
A,1,1,19,2,0
A,1,1,19,3,0
A,1,1,19,4,0
A,1,1,19,5,0
A,1,1,19,6,0
A,1,1,19,7,0
A,1,1,19,8,0
A,1,1,19,9,0
A,1,1,19,10,0
A,1,1,20,1,20
A,1,1,20,2,0
A,1,1,20,3,0
A,1,1,20,4,0
A,1,1,20,5,0
A,1,1,20,6,11
A,1,1,20,7,29
A,1,1,20,8,0
A,1,1,20,9,0
A,1,1,20,10,0
A,1,1,21,1,0
A,1,1,21,2,0
A,1,1,21,3,0
A,1,1,21,4,0
A,1,1,21,5,0
A,1,1,21,6,0
A,1,1,21,7,55
A,1,1,21,8,0
A,1,1,21,9,5
A,1,1,21,10,0
A,1,1,22,1,0
A,1,1,22,2,0
A,1,1,22,3,53
A,1,1,22,4,0
A,1,1,22,5,0
A,1,1,22,6,0
A,1,1,22,7,7
A,1,1,22,8,0
A,1,1,22,9,0
A,1,1,22,10,0
A,1,1,23,1,0
A,1,1,23,2,0
A,1,1,23,3,5
A,1,1,23,4,32
A,1,1,23,5,0
A,1,1,23,6,0
A,1,1,23,7,0
A,1,1,23,8,0
A,1,1,23,9,18
A,1,1,23,10,4
A,2,1,0,1,0
A,2,1,0,2,0
A,2,1,0,3,53
A,2,1,0,4,0
A,2,1,0,5,0
A,2,1,0,6,0
A,2,1,0,7,0
A,2,1,0,8,0
A,2,1,0,9,0
A,2,1,0,10,7
A,2,1,1,1,0
A,2,1,1,2,44
A,2,1,1,3,16
A,2,1,1,4,0
A,2,1,1,5,0
A,2,1,1,6,0
A,2,1,1,7,0
A,2,1,1,8,0
A,2,1,1,9,0
A,2,1,1,10,0
A,2,1,2,1,0
A,2,1,2,2,60
A,2,1,2,3,0
A,2,1,2,4,0
A,2,1,2,5,0
A,2,1,2,6,0
A,2,1,2,7,0
A,2,1,2,8,0
A,2,1,2,9,0
A,2,1,2,10,0
A,2,1,3,1,0
A,2,1,3,2,60
A,2,1,3,3,0
A,2,1,3,4,0
A,2,1,3,5,0
A,2,1,3,6,0
A,2,1,3,7,0
A,2,1,3,8,0
A,2,1,3,9,0
A,2,1,3,10,0
A,2,1,4,1,0
A,2,1,4,2,60
A,2,1,4,3,0
A,2,1,4,4,0
A,2,1,4,5,0
A,2,1,4,6,0
A,2,1,4,7,0
A,2,1,4,8,0
A,2,1,4,9,0
A,2,1,4,10,0
A,2,1,5,1,0
A,2,1,5,2,60
A,2,1,5,3,0
A,2,1,5,4,0
A,2,1,5,5,0
A,2,1,5,6,0
A,2,1,5,7,0
A,2,1,5,8,0
A,2,1,5,9,0
A,2,1,5,10,0
A,2,1,6,1,22
A,2,1,6,2,23
A,2,1,6,3,0
A,2,1,6,4,0
A,2,1,6,5,0
A,2,1,6,6,0
A,2,1,6,7,0
A,2,1,6,8,3
A,2,1,6,9,0
A,2,1,6,10,12
A,2,1,7,1,60
A,2,1,7,2,0
A,2,1,7,3,0
A,2,1,7,4,0
A,2,1,7,5,0
A,2,1,7,6,0
A,2,1,7,7,0
A,2,1,7,8,0
A,2,1,7,9,0
A,2,1,7,10,0
A,2,1,8,1,60
A,2,1,8,2,0
A,2,1,8,3,0
A,2,1,8,4,0
A,2,1,8,5,0
A,2,1,8,6,0
A,2,1,8,7,0
A,2,1,8,8,0
A,2,1,8,9,0
A,2,1,8,10,0
A,2,1,9,1,60
A,2,1,9,2,0
A,2,1,9,3,0
A,2,1,9,4,0
A,2,1,9,5,0
A,2,1,9,6,0
A,2,1,9,7,0
A,2,1,9,8,0
A,2,1,9,9,0
A,2,1,9,10,0
A,2,1,10,1,60
A,2,1,10,2,0
A,2,1,10,3,0
A,2,1,10,4,0
A,2,1,10,5,0
A,2,1,10,6,0
A,2,1,10,7,0
A,2,1,10,8,0
A,2,1,10,9,0
A,2,1,10,10,0
A,2,1,11,1,60
A,2,1,11,2,0
A,2,1,11,3,0
A,2,1,11,4,0
A,2,1,11,5,0
A,2,1,11,6,0
A,2,1,11,7,0
A,2,1,11,8,0
A,2,1,11,9,0
A,2,1,11,10,0
A,2,1,12,1,60
A,2,1,12,2,0
A,2,1,12,3,0
A,2,1,12,4,0
A,2,1,12,5,0
A,2,1,12,6,0
A,2,1,12,7,0
A,2,1,12,8,0
A,2,1,12,9,0
A,2,1,12,10,0
A,2,1,13,1,60
A,2,1,13,2,0
A,2,1,13,3,0
A,2,1,13,4,0
A,2,1,13,5,0
A,2,1,13,6,0
A,2,1,13,7,0
A,2,1,13,8,0
A,2,1,13,9,0
A,2,1,13,10,0
A,2,1,14,1,60
A,2,1,14,2,0
A,2,1,14,3,0
A,2,1,14,4,0
A,2,1,14,5,0
A,2,1,14,6,0
A,2,1,14,7,0
A,2,1,14,8,0
A,2,1,14,9,0
A,2,1,14,10,0
A,2,1,15,1,60
A,2,1,15,2,0
A,2,1,15,3,0
A,2,1,15,4,0
A,2,1,15,5,0
A,2,1,15,6,0
A,2,1,15,7,0
A,2,1,15,8,0
A,2,1,15,9,0
A,2,1,15,10,0
A,2,1,16,1,60
A,2,1,16,2,0
A,2,1,16,3,0
A,2,1,16,4,0
A,2,1,16,5,0
A,2,1,16,6,0
A,2,1,16,7,0
A,2,1,16,8,0
A,2,1,16,9,0
A,2,1,16,10,0
A,2,1,17,1,51
A,2,1,17,2,0
A,2,1,17,3,0
A,2,1,17,4,0
A,2,1,17,5,0
A,2,1,17,6,0
A,2,1,17,7,0
A,2,1,17,8,0
A,2,1,17,9,0
A,2,1,17,10,9
A,2,1,18,1,0
A,2,1,18,2,0
A,2,1,18,3,1
A,2,1,18,4,47
A,2,1,18,5,0
A,2,1,18,6,0
A,2,1,18,7,2
A,2,1,18,8,0
A,2,1,18,9,2
A,2,1,18,10,8
A,2,1,19,1,0
A,2,1,19,2,0
A,2,1,19,3,0
A,2,1,19,4,46
A,2,1,19,5,0
A,2,1,19,6,0
A,2,1,19,7,1
A,2,1,19,8,0
A,2,1,19,9,13
A,2,1,19,10,0
A,2,1,20,1,0
A,2,1,20,2,0
A,2,1,20,3,0
A,2,1,20,4,57
A,2,1,20,5,0
A,2,1,20,6,0
A,2,1,20,7,0
A,2,1,20,8,0
A,2,1,20,9,3
A,2,1,20,10,0
A,2,1,21,1,0
A,2,1,21,2,0
A,2,1,21,3,32
A,2,1,21,4,0
A,2,1,21,5,0
A,2,1,21,6,0
A,2,1,21,7,25
A,2,1,21,8,0
A,2,1,21,9,0
A,2,1,21,10,3
A,2,1,22,1,0
A,2,1,22,2,0
A,2,1,22,3,54
A,2,1,22,4,0
A,2,1,22,5,0
A,2,1,22,6,0
A,2,1,22,7,3
A,2,1,22,8,3
A,2,1,22,9,0
A,2,1,22,10,0
A,2,1,23,1,0
A,2,1,23,2,0
A,2,1,23,3,16
A,2,1,23,4,39
A,2,1,23,5,0
A,2,1,23,6,0
A,2,1,23,7,0
A,2,1,23,8,0
A,2,1,23,9,0
A,2,1,23,10,4
B,1,1,0,1,0
B,1,1,0,2,60
B,1,1,0,3,0
B,1,1,0,4,0
B,1,1,0,5,0
B,1,1,0,6,0
B,1,1,0,7,0
B,1,1,0,8,0
B,1,1,0,9,0
B,1,1,0,10,0
B,1,1,1,1,0
B,1,1,1,2,60
B,1,1,1,3,0
B,1,1,1,4,0
B,1,1,1,5,0
B,1,1,1,6,0
B,1,1,1,7,0
B,1,1,1,8,0
B,1,1,1,9,0
B,1,1,1,10,0
B,1,1,2,1,0
B,1,1,2,2,60
B,1,1,2,3,0
B,1,1,2,4,0
B,1,1,2,5,0
B,1,1,2,6,0
B,1,1,2,7,0
B,1,1,2,8,0
B,1,1,2,9,0
B,1,1,2,10,0
B,1,1,3,1,0
B,1,1,3,2,60
B,1,1,3,3,0
B,1,1,3,4,0
B,1,1,3,5,0
B,1,1,3,6,0
B,1,1,3,7,0
B,1,1,3,8,0
B,1,1,3,9,0
B,1,1,3,10,0
B,1,1,4,1,0
B,1,1,4,2,60
B,1,1,4,3,0
B,1,1,4,4,0
B,1,1,4,5,0
B,1,1,4,6,0
B,1,1,4,7,0
B,1,1,4,8,0
B,1,1,4,9,0
B,1,1,4,10,0
B,1,1,5,1,0
B,1,1,5,2,57
B,1,1,5,3,0
B,1,1,5,4,0
B,1,1,5,5,0
B,1,1,5,6,1
B,1,1,5,7,0
B,1,1,5,8,0
B,1,1,5,9,0
B,1,1,5,10,2
B,1,1,6,1,0
B,1,1,6,2,60
B,1,1,6,3,0
B,1,1,6,4,0
B,1,1,6,5,0
B,1,1,6,6,0
B,1,1,6,7,0
B,1,1,6,8,0
B,1,1,6,9,0
B,1,1,6,10,0
B,1,1,7,1,0
B,1,1,7,2,60
B,1,1,7,3,0
B,1,1,7,4,0
B,1,1,7,5,0
B,1,1,7,6,0
B,1,1,7,7,0
B,1,1,7,8,0
B,1,1,7,9,0
B,1,1,7,10,0
B,1,1,8,1,0
B,1,1,8,2,60
B,1,1,8,3,0
B,1,1,8,4,0
B,1,1,8,5,0
B,1,1,8,6,0
B,1,1,8,7,0
B,1,1,8,8,0
B,1,1,8,9,0
B,1,1,8,10,0
B,1,1,9,1,0
B,1,1,9,2,60
B,1,1,9,3,0
B,1,1,9,4,0
B,1,1,9,5,0
B,1,1,9,6,0
B,1,1,9,7,0
B,1,1,9,8,0
B,1,1,9,9,0
B,1,1,9,10,0
B,1,1,10,1,0
B,1,1,10,2,47
B,1,1,10,3,0
B,1,1,10,4,0
B,1,1,10,5,0
B,1,1,10,6,5
B,1,1,10,7,4
B,1,1,10,8,0
B,1,1,10,9,0
B,1,1,10,10,4
B,1,1,11,1,0
B,1,1,11,2,0
B,1,1,11,3,0
B,1,1,11,4,0
B,1,1,11,5,8
B,1,1,11,6,20
B,1,1,11,7,28
B,1,1,11,8,2
B,1,1,11,9,0
B,1,1,11,10,2
B,1,1,12,1,0
B,1,1,12,2,0
B,1,1,12,3,0
B,1,1,12,4,0
B,1,1,12,5,60
B,1,1,12,6,0
B,1,1,12,7,0
B,1,1,12,8,0
B,1,1,12,9,0
B,1,1,12,10,0
B,1,1,13,1,0
B,1,1,13,2,0
B,1,1,13,3,0
B,1,1,13,4,0
B,1,1,13,5,59
B,1,1,13,6,0
B,1,1,13,7,0
B,1,1,13,8,0
B,1,1,13,9,0
B,1,1,13,10,1
B,1,1,14,1,0
B,1,1,14,2,0
B,1,1,14,3,0
B,1,1,14,4,0
B,1,1,14,5,60
B,1,1,14,6,0
B,1,1,14,7,0
B,1,1,14,8,0
B,1,1,14,9,0
B,1,1,14,10,0
B,1,1,15,1,0
B,1,1,15,2,0
B,1,1,15,3,0
B,1,1,15,4,0
B,1,1,15,5,17
B,1,1,15,6,0
B,1,1,15,7,43
B,1,1,15,8,0
B,1,1,15,9,0
B,1,1,15,10,0
B,1,1,16,1,0
B,1,1,16,2,0
B,1,1,16,3,0
B,1,1,16,4,0
B,1,1,16,5,0
B,1,1,16,6,7
B,1,1,16,7,49
B,1,1,16,8,4
B,1,1,16,9,0
B,1,1,16,10,0
B,1,1,17,1,0
B,1,1,17,2,0
B,1,1,17,3,0
B,1,1,17,4,0
B,1,1,17,5,51
B,1,1,17,6,0
B,1,1,17,7,0
B,1,1,17,8,9
B,1,1,17,9,0
B,1,1,17,10,0
B,1,1,18,1,0
B,1,1,18,2,0
B,1,1,18,3,0
B,1,1,18,4,0
B,1,1,18,5,58
B,1,1,18,6,0
B,1,1,18,7,0
B,1,1,18,8,0
B,1,1,18,9,0
B,1,1,18,10,2
B,1,1,19,1,0
B,1,1,19,2,0
B,1,1,19,3,0
B,1,1,19,4,0
B,1,1,19,5,59
B,1,1,19,6,0
B,1,1,19,7,1
B,1,1,19,8,0
B,1,1,19,9,0
B,1,1,19,10,0
B,1,1,20,1,0
B,1,1,20,2,0
B,1,1,20,3,0
B,1,1,20,4,0
B,1,1,20,5,59
B,1,1,20,6,0
B,1,1,20,7,0
B,1,1,20,8,0
B,1,1,20,9,0
B,1,1,20,10,1
B,1,1,21,1,0
B,1,1,21,2,0
B,1,1,21,3,0
B,1,1,21,4,0
B,1,1,21,5,60
B,1,1,21,6,0
B,1,1,21,7,0
B,1,1,21,8,0
B,1,1,21,9,0
B,1,1,21,10,0
B,1,1,22,1,0
B,1,1,22,2,0
B,1,1,22,3,0
B,1,1,22,4,27
B,1,1,22,5,29
B,1,1,22,6,0
B,1,1,22,7,4
B,1,1,22,8,0
B,1,1,22,9,0
B,1,1,22,10,0
B,1,1,23,1,0
B,1,1,23,2,0
B,1,1,23,3,0
B,1,1,23,4,59
B,1,1,23,5,0
B,1,1,23,6,0
B,1,1,23,7,0
B,1,1,23,8,0
B,1,1,23,9,0
B,1,1,23,10,0
B,2,1,0,1,0
B,2,1,0,2,60
B,2,1,0,3,0
B,2,1,0,4,0
B,2,1,0,5,0
B,2,1,0,6,0
B,2,1,0,7,0
B,2,1,0,8,0
B,2,1,0,9,0
B,2,1,0,10,0
B,2,1,1,1,0
B,2,1,1,2,60
B,2,1,1,3,0
B,2,1,1,4,0
B,2,1,1,5,0
B,2,1,1,6,0
B,2,1,1,7,0
B,2,1,1,8,0
B,2,1,1,9,0
B,2,1,1,10,0
B,2,1,2,1,0
B,2,1,2,2,60
B,2,1,2,3,0
B,2,1,2,4,0
B,2,1,2,5,0
B,2,1,2,6,0
B,2,1,2,7,0
B,2,1,2,8,0
B,2,1,2,9,0
B,2,1,2,10,0
B,2,1,3,1,0
B,2,1,3,2,60
B,2,1,3,3,0
B,2,1,3,4,0
B,2,1,3,5,0
B,2,1,3,6,0
B,2,1,3,7,0
B,2,1,3,8,0
B,2,1,3,9,0
B,2,1,3,10,0
B,2,1,4,1,0
B,2,1,4,2,60
B,2,1,4,3,0
B,2,1,4,4,0
B,2,1,4,5,0
B,2,1,4,6,0
B,2,1,4,7,0
B,2,1,4,8,0
B,2,1,4,9,0
B,2,1,4,10,0
B,2,1,5,1,0
B,2,1,5,2,60
B,2,1,5,3,0
B,2,1,5,4,0
B,2,1,5,5,0
B,2,1,5,6,0
B,2,1,5,7,0
B,2,1,5,8,0
B,2,1,5,9,0
B,2,1,5,10,0
B,2,1,6,1,0
B,2,1,6,2,60
B,2,1,6,3,0
B,2,1,6,4,0
B,2,1,6,5,0
B,2,1,6,6,0
B,2,1,6,7,0
B,2,1,6,8,0
B,2,1,6,9,0
B,2,1,6,10,0
B,2,1,7,1,0
B,2,1,7,2,60
B,2,1,7,3,0
B,2,1,7,4,0
B,2,1,7,5,0
B,2,1,7,6,0
B,2,1,7,7,0
B,2,1,7,8,0
B,2,1,7,9,0
B,2,1,7,10,0
B,2,1,8,1,0
B,2,1,8,2,60
B,2,1,8,3,0
B,2,1,8,4,0
B,2,1,8,5,0
B,2,1,8,6,0
B,2,1,8,7,0
B,2,1,8,8,0
B,2,1,8,9,0
B,2,1,8,10,0
B,2,1,9,1,0
B,2,1,9,2,60
B,2,1,9,3,0
B,2,1,9,4,0
B,2,1,9,5,0
B,2,1,9,6,0
B,2,1,9,7,0
B,2,1,9,8,0
B,2,1,9,9,0
B,2,1,9,10,0
B,2,1,10,1,0
B,2,1,10,2,19
B,2,1,10,3,0
B,2,1,10,4,0
B,2,1,10,5,0
B,2,1,10,6,0
B,2,1,10,7,0
B,2,1,10,8,0
B,2,1,10,9,32
B,2,1,10,10,9
B,2,1,11,1,0
B,2,1,11,2,0
B,2,1,11,3,0
B,2,1,11,4,0
B,2,1,11,5,0
B,2,1,11,6,0
B,2,1,11,7,17
B,2,1,11,8,0
B,2,1,11,9,32
B,2,1,11,10,11
B,2,1,12,1,0
B,2,1,12,2,0
B,2,1,12,3,0
B,2,1,12,4,0
B,2,1,12,5,0
B,2,1,12,6,0
B,2,1,12,7,0
B,2,1,12,8,0
B,2,1,12,9,60
B,2,1,12,10,0
B,2,1,13,1,0
B,2,1,13,2,0
B,2,1,13,3,0
B,2,1,13,4,0
B,2,1,13,5,0
B,2,1,13,6,0
B,2,1,13,7,0
B,2,1,13,8,0
B,2,1,13,9,60
B,2,1,13,10,0
B,2,1,14,1,0
B,2,1,14,2,0
B,2,1,14,3,0
B,2,1,14,4,0
B,2,1,14,5,0
B,2,1,14,6,0
B,2,1,14,7,0
B,2,1,14,8,0
B,2,1,14,9,60
B,2,1,14,10,0
B,2,1,15,1,0
B,2,1,15,2,0
B,2,1,15,3,0
B,2,1,15,4,0
B,2,1,15,5,45
B,2,1,15,6,0
B,2,1,15,7,0
B,2,1,15,8,0
B,2,1,15,9,0
B,2,1,15,10,15
B,2,1,16,1,0
B,2,1,16,2,0
B,2,1,16,3,0
B,2,1,16,4,0
B,2,1,16,5,40
B,2,1,16,6,5
B,2,1,16,7,15
B,2,1,16,8,0
B,2,1,16,9,0
B,2,1,16,10,0
B,2,1,17,1,0
B,2,1,17,2,0
B,2,1,17,3,0
B,2,1,17,4,0
B,2,1,17,5,37
B,2,1,17,6,0
B,2,1,17,7,0
B,2,1,17,8,0
B,2,1,17,9,23
B,2,1,17,10,0
B,2,1,18,1,0
B,2,1,18,2,0
B,2,1,18,3,0
B,2,1,18,4,0
B,2,1,18,5,0
B,2,1,18,6,0
B,2,1,18,7,0
B,2,1,18,8,0
B,2,1,18,9,60
B,2,1,18,10,0
B,2,1,19,1,0
B,2,1,19,2,0
B,2,1,19,3,0
B,2,1,19,4,0
B,2,1,19,5,0
B,2,1,19,6,0
B,2,1,19,7,3
B,2,1,19,8,0
B,2,1,19,9,55
B,2,1,19,10,2
B,2,1,20,1,0
B,2,1,20,2,0
B,2,1,20,3,0
B,2,1,20,4,0
B,2,1,20,5,0
B,2,1,20,6,0
B,2,1,20,7,0
B,2,1,20,8,0
B,2,1,20,9,60
B,2,1,20,10,0
B,2,1,21,1,0
B,2,1,21,2,0
B,2,1,21,3,0
B,2,1,21,4,0
B,2,1,21,5,0
B,2,1,21,6,0
B,2,1,21,7,0
B,2,1,21,8,0
B,2,1,21,9,60
B,2,1,21,10,0
B,2,1,22,1,0
B,2,1,22,2,0
B,2,1,22,3,0
B,2,1,22,4,25
B,2,1,22,5,0
B,2,1,22,6,0
B,2,1,22,7,0
B,2,1,22,8,0
B,2,1,22,9,33
B,2,1,22,10,2
B,2,1,23,1,0
B,2,1,23,2,0
B,2,1,23,3,0
B,2,1,23,4,59
B,2,1,23,5,0
B,2,1,23,6,0
B,2,1,23,7,0
B,2,1,23,8,0
B,2,1,23,9,0
B,2,1,23,10,0
A,1,2,0,1,0
A,1,2,0,2,0
A,1,2,0,3,13
A,1,2,0,4,37
A,1,2,0,5,0
A,1,2,0,6,0
A,1,2,0,7,10
A,1,2,0,8,0
A,1,2,0,9,0
A,1,2,0,10,0
A,1,2,1,1,0
A,1,2,1,2,0
A,1,2,1,3,0
A,1,2,1,4,7
A,1,2,1,5,53
A,1,2,1,6,0
A,1,2,1,7,0
A,1,2,1,8,0
A,1,2,1,9,0
A,1,2,1,10,0
A,1,2,2,1,0
A,1,2,2,2,20
A,1,2,2,3,0
A,1,2,2,4,0
A,1,2,2,5,32
A,1,2,2,6,5
A,1,2,2,7,0
A,1,2,2,8,0
A,1,2,2,9,0
A,1,2,2,10,3
A,1,2,3,1,0
A,1,2,3,2,60
A,1,2,3,3,0
A,1,2,3,4,0
A,1,2,3,5,0
A,1,2,3,6,0
A,1,2,3,7,0
A,1,2,3,8,0
A,1,2,3,9,0
A,1,2,3,10,0
A,1,2,4,1,0
A,1,2,4,2,60
A,1,2,4,3,0
A,1,2,4,4,0
A,1,2,4,5,0
A,1,2,4,6,0
A,1,2,4,7,0
A,1,2,4,8,0
A,1,2,4,9,0
A,1,2,4,10,0
A,1,2,5,1,0
A,1,2,5,2,60
A,1,2,5,3,0
A,1,2,5,4,0
A,1,2,5,5,0
A,1,2,5,6,0
A,1,2,5,7,0
A,1,2,5,8,0
A,1,2,5,9,0
A,1,2,5,10,0
A,1,2,6,1,0
A,1,2,6,2,60
A,1,2,6,3,0
A,1,2,6,4,0
A,1,2,6,5,0
A,1,2,6,6,0
A,1,2,6,7,0
A,1,2,6,8,0
A,1,2,6,9,0
A,1,2,6,10,0
A,1,2,7,1,0
A,1,2,7,2,60
A,1,2,7,3,0
A,1,2,7,4,0
A,1,2,7,5,0
A,1,2,7,6,0
A,1,2,7,7,0
A,1,2,7,8,0
A,1,2,7,9,0
A,1,2,7,10,0
A,1,2,8,1,0
A,1,2,8,2,60
A,1,2,8,3,0
A,1,2,8,4,0
A,1,2,8,5,0
A,1,2,8,6,0
A,1,2,8,7,0
A,1,2,8,8,0
A,1,2,8,9,0
A,1,2,8,10,0
A,1,2,9,1,0
A,1,2,9,2,56
A,1,2,9,3,0
A,1,2,9,4,4
A,1,2,9,5,0
A,1,2,9,6,0
A,1,2,9,7,0
A,1,2,9,8,0
A,1,2,9,9,0
A,1,2,9,10,0
A,1,2,10,1,0
A,1,2,10,2,0
A,1,2,10,3,18
A,1,2,10,4,18
A,1,2,10,5,0
A,1,2,10,6,0
A,1,2,10,7,22
A,1,2,10,8,0
A,1,2,10,9,0
A,1,2,10,10,2
A,1,2,11,1,0
A,1,2,11,2,0
A,1,2,11,3,0
A,1,2,11,4,0
A,1,2,11,5,40
A,1,2,11,6,0
A,1,2,11,7,20
A,1,2,11,8,0
A,1,2,11,9,0
A,1,2,11,10,0
A,1,2,12,1,0
A,1,2,12,2,0
A,1,2,12,3,0
A,1,2,12,4,0
A,1,2,12,5,7
A,1,2,12,6,16
A,1,2,12,7,0
A,1,2,12,8,0
A,1,2,12,9,3
A,1,2,12,10,34
A,1,2,13,1,33
A,1,2,13,2,0
A,1,2,13,3,0
A,1,2,13,4,0
A,1,2,13,5,15
A,1,2,13,6,12
A,1,2,13,7,0
A,1,2,13,8,0
A,1,2,13,9,0
A,1,2,13,10,0
A,1,2,14,1,3
A,1,2,14,2,0
A,1,2,14,3,0
A,1,2,14,4,11
A,1,2,14,5,0
A,1,2,14,6,0
A,1,2,14,7,46
A,1,2,14,8,0
A,1,2,14,9,0
A,1,2,14,10,0
A,1,2,15,1,0
A,1,2,15,2,0
A,1,2,15,3,43
A,1,2,15,4,0
A,1,2,15,5,0
A,1,2,15,6,0
A,1,2,15,7,7
A,1,2,15,8,10
A,1,2,15,9,0
A,1,2,15,10,0
A,1,2,16,1,0
A,1,2,16,2,0
A,1,2,16,3,35
A,1,2,16,4,0
A,1,2,16,5,0
A,1,2,16,6,0
A,1,2,16,7,0
A,1,2,16,8,0
A,1,2,16,9,0
A,1,2,16,10,25
A,1,2,17,1,47
A,1,2,17,2,0
A,1,2,17,3,8
A,1,2,17,4,0
A,1,2,17,5,0
A,1,2,17,6,0
A,1,2,17,7,0
A,1,2,17,8,5
A,1,2,17,9,0
A,1,2,17,10,0
A,1,2,18,1,60
A,1,2,18,2,0
A,1,2,18,3,0
A,1,2,18,4,0
A,1,2,18,5,0
A,1,2,18,6,0
A,1,2,18,7,0
A,1,2,18,8,0
A,1,2,18,9,0
A,1,2,18,10,0
A,1,2,19,1,60
A,1,2,19,2,0
A,1,2,19,3,0
A,1,2,19,4,0
A,1,2,19,5,0
A,1,2,19,6,0
A,1,2,19,7,0
A,1,2,19,8,0
A,1,2,19,9,0
A,1,2,19,10,0
A,1,2,20,1,60
A,1,2,20,2,0
