Day	Activity_Code	Activity	Resident	Minutes	Hours
1	23	Listening to Music	Resident_2	0	0
1	24	Cleaning	Resident_2	0	0
1	25	Having Conversation	Resident_2	0	0
1	26	Having Guest	Resident_2	0	0
1	27	Changing Clothes	Resident_2	2.266666667	0.04
2	1	Other	Resident_1	32.48333333	0.54
2	2	Going Out	Resident_1	297.15	4.95
2	3	Preparing Breakfast	Resident_1	22.3	0.37
2	4	Having Breakfast	Resident_1	19.06666667	0.32
2	5	Preparing Lunch	Resident_1	25.9	0.43
2	6	Having Lunch	Resident_1	26.78333333	0.45
2	7	Preparing Dinner	Resident_1	0	0
2	8	Having Dinner	Resident_1	0	0
2	9	Washing Dishes	Resident_1	10.25	0.17
2	10	Having Snack	Resident_1	9.766666667	0.16
2	11	Sleeping	Resident_1	435.9666667	7.27
2	12	Watching TV	Resident_1	96.63333333	1.61
2	13	Studying	Resident_1	146.5666667	2.44
2	14	Having Shower	Resident_1	31.4	0.52
2	15	Toileting	Resident_1	26.25	0.44
2	16	Napping	Resident_1	0	0
2	17	Using Internet	Resident_1	215.1333333	3.59
2	18	Reading Book	Resident_1	0	0
2	19	Laundry	Resident_1	0	0
2	20	Shaving	Resident_1	10.43333333	0.17
2	21	Brushing Teeth	Resident_1	26.21666667	0.44
2	22	Talking on the Phone	Resident_1	0	0
2	23	Listening to Music	Resident_1	0	0
2	24	Cleaning	Resident_1	0	0
2	25	Having Conversation	Resident_1	0	0
2	26	Having Guest	Resident_1	0	0
2	27	Changing Clothes	Resident_1	7.7	0.13
2	1	Other	Resident_2	0	0
2	2	Going Out	Resident_2	1440	24
2	3	Preparing Breakfast	Resident_2	0	0
2	4	Having Breakfast	Resident_2	0	0
2	5	Preparing Lunch	Resident_2	0	0
2	6	Having Lunch	Resident_2	0	0
2	7	Preparing Dinner	Resident_2	0	0
2	8	Having Dinner	Resident_2	0	0
2	9	Washing Dishes	Resident_2	0	0
2	10	Having Snack	Resident_2	0	0
2	11	Sleeping	Resident_2	0	0
2	12	Watching TV	Resident_2	0	0
2	13	Studying	Resident_2	0	0
2	14	Having Shower	Resident_2	0	0
2	15	Toileting	Resident_2	0	0
2	16	Napping	Resident_2	0	0
2	17	Using Internet	Resident_2	0	0
2	18	Reading Book	Resident_2	0	0
2	19	Laundry	Resident_2	0	0
2	20	Shaving	Resident_2	0	0
2	21	Brushing Teeth	Resident_2	0	0
2	22	Talking on the Phone	Resident_2	0	0
2	23	Listening to Music	Resident_2	0	0
2	24	Cleaning	Resident_2	0	0
2	25	Having Conversation	Resident_2	0	0
2	26	Having Guest	Resident_2	0	0
2	27	Changing Clothes	Resident_2	0	0
3	1	Other	Resident_1	33.6	0.56
3	2	Going Out	Resident_1	58.75	0.98
3	3	Preparing Breakfast	Resident_1	30.55	0.51
3	4	Having Breakfast	Resident_1	47.95	0.8
3	5	Preparing Lunch	Resident_1	27.48333333	0.46
3	6	Having Lunch	Resident_1	21.78333333	0.36
3	7	Preparing Dinner	Resident_1	0	0
3	8	Having Dinner	Resident_1	0	0
3	9	Washing Dishes	Resident_1	11.01666667	0.18
3	10	Having Snack	Resident_1	47.23333333	0.79
3	11	Sleeping	Resident_1	455.0666667	7.58
3	12	Watching TV	Resident_1	245.35	4.09
3	13	Studying	Resident_1	28.23333333	0.47
3	14	Having Shower	Resident_1	29.56666667	0.49
3	15	Toileting	Resident_1	32.63333333	0.54
3	16	Napping	Resident_1	0	0
3	17	Using Internet	Resident_1	207.5833333	3.46
3	18	Reading Book	Resident_1	36.85	0.61
3	19	Laundry	Resident_1	0	0
3	20	Shaving	Resident_1	0	0
3	21	Brushing Teeth	Resident_1	9.066666667	0.15
3	22	Talking on the Phone	Resident_1	86.55	1.44
3	23	Listening to Music	Resident_1	0	0
3	24	Cleaning	Resident_1	0	0
3	25	Having Conversation	Resident_1	18.88333333	0.31
3	26	Having Guest	Resident_1	0	0
3	27	Changing Clothes	Resident_1	11.85	0.2
3	1	Other	Resident_2	0	0
3	2	Going Out	Resident_2	703.85	11.73
3	3	Preparing Breakfast	Resident_2	4.55	0.08
3	4	Having Breakfast	Resident_2	3.383333333	0.06
3	5	Preparing Lunch	Resident_2	0	0
3	6	Having Lunch	Resident_2	0	0
3	7	Preparing Dinner	Resident_2	0	0
3	8	Having Dinner	Resident_2	0	0
3	9	Washing Dishes	Resident_2	0	0
3	10	Having Snack	Resident_2	1.633333333	0.03
3	11	Sleeping	Resident_2	424.6	7.08
3	12	Watching TV	Resident_2	61.71666667	1.03
3	13	Studying	Resident_2	0	0
3	14	Having Shower	Resident_2	0	0
3	15	Toileting	Resident_2	41.61666667	0.69
3	16	Napping	Resident_2	0	0
3	17	Using Internet	Resident_2	154.25	2.57
3	18	Reading Book	Resident_2	0	0
3	19	Laundry	Resident_2	0	0
3	20	Shaving	Resident_2	11.38333333	0.19
3	21	Brushing Teeth	Resident_2	15.11666667	0.25
3	22	Talking on the Phone	Resident_2	17.9	0.3
3	23	Listening to Music	Resident_2	0	0
3	24	Cleaning	Resident_2	0	0
3	25	Having Conversation	Resident_2	0	0
3	26	Having Guest	Resident_2	0	0
3	27	Changing Clothes	Resident_2	0	0
4	1	Other	Resident_1	23.88333333	0.4
4	2	Going Out	Resident_1	0	0
4	3	Preparing Breakfast	Resident_1	10.58333333	0.18
4	4	Having Breakfast	Resident_1	12.3	0.21
4	5	Preparing Lunch	Resident_1	26.61666667	0.44
4	6	Having Lunch	Resident_1	10.46666667	0.17
4	7	Preparing Dinner	Resident_1	11.71666667	0.2
4	8	Having Dinner	Resident_1	13.65	0.23
4	9	Washing Dishes	Resident_1	17.75	0.3
4	10	Having Snack	Resident_1	6.066666667	0.1
4	11	Sleeping	Resident_1	589.1	9.82
4	12	Watching TV	Resident_1	186.7333333	3.11
4	13	Studying	Resident_1	289.2	4.82
4	14	Having Shower	Resident_1	0	0
4	15	Toileting	Resident_1	30	0.5
4	16	Napping	Resident_1	0	0
4	17	Using Internet	Resident_1	108.65	1.81
4	18	Reading Book	Resident_1	0	0
4	19	Laundry	Resident_1	0	0
4	20	Shaving	Resident_1	0	0
4	21	Brushing Teeth	Resident_1	14.2	0.24
4	22	Talking on the Phone	Resident_1	68.06666667	1.13
4	23	Listening to Music	Resident_1	4.35	0.07
4	24	Cleaning	Resident_1	0	0
4	25	Having Conversation	Resident_1	16.66666667	0.28
4	26	Having Guest	Resident_1	0	0
4	27	Changing Clothes	Resident_1	0	0
4	1	Other	Resident_2	2.833333333	0.05
4	2	Going Out	Resident_2	852.7333333	14.21
4	3	Preparing Breakfast	Resident_2	3.866666667	0.06
4	4	Having Breakfast	Resident_2	3.233333333	0.05
4	5	Preparing Lunch	Resident_2	0	0
4	6	Having Lunch	Resident_2	0	0
4	7	Preparing Dinner	Resident_2	0	0
4	8	Having Dinner	Resident_2	0	0
4	9	Washing Dishes	Resident_2	0	0
4	10	Having Snack	Resident_2	0	0
4	11	Sleeping	Resident_2	451.0666667	7.52
4	12	Watching TV	Resident_2	0	0
4	13	Studying	Resident_2	0	0
4	14	Having Shower	Resident_2	31.45	0.52
4	15	Toileting	Resident_2	31.1	0.52
4	16	Napping	Resident_2	0	0
4	17	Using Internet	Resident_2	5.183333333	0.09
4	18	Reading Book	Resident_2	0	0
4	19	Laundry	Resident_2	0	0
4	20	Shaving	Resident_2	8.216666667	0.14
4	21	Brushing Teeth	Resident_2	6.566666667	0.11
4	22	Talking on the Phone	Resident_2	0	0
4	23	Listening to Music	Resident_2	0	0
4	24	Cleaning	Resident_2	0	0
4	25	Having Conversation	Resident_2	16.68333333	0.28
4	26	Having Guest	Resident_2	0	0
4	27	Changing Clothes	Resident_2	27.06666667	0.45
